Repository                                          Stars  Created at  Description                                            
monkeyWie/gopeed                                    1901   2019        A fast download client,support HTTP&P2P.               
go-ini/ini                                          1899   2014        Package ini provides INI file read and write funct...  
Terry-Mao/gopush-cluster                            1892   2013        Golang push server cluster                             
matcornic/hermes                                    1886   2017        Golang package that generates clean, responsive HT...  
fireworq/fireworq                                   1885   2017        Fireworq is a lightweight, high-performance, langu...  
kubernetes/test-infra                               1883   2016        Test infrastructure for the Kubernetes project.        
google/btree                                        1880   2014                                                               
shen100/wemall                                      1878   2017        基于react, node.js, go开发的微商城（含�...                      
confluentinc/confluent-kafka-go                     1877   2016        Confluent's Apache Kafka Golang client                 
brigadecore/brigade                                 1877   2017        Event-based Scripting for Kubernetes.                  
egonelbre/gophers                                   1868   2015        Free gophers                                           
kubernetes/kubeadm                                  1867   2016        Aggregator for issues filed against kubeadm            
xmge/gonote                                         1865   2018        欢迎各位gopher一起来完善这份笔记，�...                              
marcusolsson/tui-go                                 1864   2016        A UI library for terminal applications.                
dunglas/mercure                                     1860   2018        Server-sent live updates: protocol and reference i...  
src-d/gitbase                                       1859   2016        SQL interface to git repositories, written in Go. ...  
jasonlvhit/gocron                                   1859   2014        A Golang Job Scheduling Package.                       
influxdata/kapacitor                                1856   2015        Open source framework for processing, monitoring, ...  
redspread/spread                                    1855   2016        Docker to Kubernetes in one command                    
TheAlgorithms/Go                                    1848   2016        Algorithms Implemented in GoLang                       
mosn/mosn                                           1845   2018        MOSN is a powerful cloud-native proxy acts as a ed...  
PuerkitoBio/gocrawl                                 1842   2012        Polite, slim and concurrent web crawler.               
GeertJohan/go.rice                                  1840   2013        go.rice is a Go package that makes working with re...  
alash3al/sqler                                      1839   2019        write APIs using direct SQL queries with no hassle...  
francoispqt/gojay                                   1838   2018        fastest JSON encoder/decoder with powerful stream ...  
rapidloop/rtop                                      1836   2015        rtop is an interactive, remote system monitoring t...  
fogleman/pt                                         1832   2015        A path tracer written in Go.                           
golang/proposal                                     1829   2015        Go Project Design Documents                            
gravitational/workshop                              1827   2016        Docker, Kubernetes and Gravity Trainings by Gravit...  
kabukky/journey                                     1825   2015        A blog engine written in Go, compatible with Ghost...  
bitnami-labs/sealed-secrets                         1820   2017        A Kubernetes controller and tool for one-way encry...  
roboll/helmfile                                     1817   2016        Deploy Kubernetes Helm Charts                          
gokcehan/lf                                         1817   2016        Terminal file manager                                  
oklog/ulid                                          1817   2016        Universally Unique Lexicographically Sortable Iden...  
liangdas/mqant                                      1815   2017        mqant是一款基于Golang语言的简洁,高效,�...                          
gocircuit/circuit                                   1813   2014        Circuit: Dynamic cloud orchestration http://gocirc...  
magefile/mage                                       1813   2017        a Make/rake-like dev tool using Go                     
jwilder/docker-squash                               1813   2014        Squash docker images to make them smaller              
osrg/gobgp                                          1810   2014        BGP implemented in the Go Programming Language         
gopl-zh/gopl-zh.github.com                          1809   2016        Go语言圣经中文版(只接收PR, Issue请提�...                          
intelsdi-x/snap                                     1805   2014        The open telemetry framework                           
aptly-dev/aptly                                     1802   2013        aptly - Debian repository management tool              
mikefarah/yq                                        1800   2015        yq is a portable command-line YAML processor           
ThreeDotsLabs/watermill                             1798   2018        Building event-driven applications the easy way in...  
kiali/kiali                                         1796   2018        Kiali project, observability for the Istio service...  
coreos/torus                                        1793   2015        Torus Distributed Storage                              
MariaLetta/free-gophers-pack                        1792   2019        ✨ This pack of 100+ gopher pictures and elements...    
liuchengxu/blockchain-tutorial                      1791   2017        :ear_of_rice: A step-by-step blockchain tutorial i...  
cdarwin/go-koans                                    1788   2012        koans for go                                           
whyrusleeping/gx                                    1788   2015        A package management tool                              
isacikgoz/gitin                                     1787   2019        commit/branch/workdir explorer for git                 
convox/rack                                         1784   2015        Private PaaS built on native AWS services for maxi...  
kata-containers/runtime                             1782   2017        Kata Containers runtime                                
Azure/golua                                         1781   2018        A Lua 5.3 engine implemented in Go                     
golang/example                                      1779   2014        Go example projects                                    
Jeffail/gabs                                        1778   2014        For parsing, creating and editing unknown or dynam...  
Shopify/go-lua                                      1777   2013        A Lua VM in Go                                         
goadapp/goad                                        1776   2016        Goad is an AWS Lambda powered, highly distributed,...  
googleforgames/open-match                           1775   2018        Flexible, extensible, and scalable video game matc...  
hashicorp/memberlist                                1773   2013        Golang package for gossip based membership and fai...  
zentures/surgemq                                    1769   2014        (Unmaintained) High-Performance MQTT Server and Cl...  
rancher/rio                                         1767   2018        Application Deployment Engine for Kubernetes           
s-rah/onionscan                                     1767   2016        OnionScan is a free and open source tool for inves...  
elastic/logstash-forwarder                          1765   2012        An experiment to cut logs in preparation for proce...  
natefinch/lumberjack                                1765   2014        lumberjack is a log rolling package for Go             
segmentio/ksuid                                     1765   2017        K-Sortable Globally Unique IDs                         
VictoriaMetrics/VictoriaMetrics                     1761   2018        VictoriaMetrics - fast, cost-effective and scalabl...  
vzex/dog-tunnel                                     1761   2014        p2p tunnel,(udp mode work with kcp,https://github....  
thecodingmachine/gotenberg                          1760   2018        A Docker-powered stateless API for converting HTML...  
vmware-tanzu/sonobuoy                               1760   2017        Sonobuoy is a diagnostic tool that makes it easier...  
silenceper/wechat                                   1756   2016        WeChat SDK for Go （微信SDK：简单、易用�...                    
dzhou121/gonvim                                     1754   2017                                                               
gocql/gocql                                         1745   2012        Package gocql implements a fast and robust Cassand...  
nats-io/nats-streaming-server                       1744   2016        NATS Streaming System Server                           
go-jira/jira                                        1739   2015        simple jira command line client in Go                  
olahol/melody                                       1734   2015        :notes: Minimalist websocket framework for Go          
hlandau/acmetool                                    1733   2015        :lock: acmetool, an automatic certificate acquisit...  
rexray/rexray                                       1724   2015        REX-Ray is a container storage orchestration engin...  
kedacore/keda                                       1721   2019         KEDA is a Kubernetes-based Event Driven Autoscali...  
derailed/popeye                                     1718   2019        🧭 A Kubernetes cluster resource sanitizer              
zquestz/s                                           1714   2016        Open a web search in your terminal.                    
golang/crypto                                       1713   2014        [mirror] Go supplementary cryptography libraries       
moul/assh                                           1710   2011        :computer: make your ssh client smarter                
txn2/kubefwd                                        1710   2018        Bulk port forwarding Kubernetes services for local...  
zachlatta/sshtron                                   1710   2016        Play Tron over SSH                                     
hpcloud/tail                                        1706   2013        Go package for reading from continously updated fi...  
bradfitz/http2                                      1704   2014        old repo for HTTP/2 support for Go (see README for...  
awnumar/memguard                                    1704   2017        Secure software enclave for storage of sensitive i...  
GoogleChromeLabs/simplehttp2server                  1699   2015        A simple HTTP/2 server for development                 
rancher/rke                                         1697   2017        Rancher Kubernetes Engine (RKE), an extremely simp...  
github/git-sizer                                    1692   2018        Compute various size metrics for a Git repository,...  
helm/chartmuseum                                    1691   2017        Host your own Helm Chart Repository                    
skanehira/docui                                     1691   2018        TUI Client for Docker                                  
kubevirt/kubevirt                                   1689   2016        Kubernetes Virtualization API and runtime in order...  
charmbracelet/glow                                  1688   2019        Render markdown on the CLI, with pizzazz! 💅🏻           
uber-archive/cpustat                                1686   2016        high frequency performance measurements for Linux....  
talos-systems/talos                                 1684   2017        A modern OS for Kubernetes.                            
census-instrumentation/opencensus-go                1681   2017        A stats collection and distributed tracing framewo...  
opencontainers/runtime-spec                         1680   2015        OCI Runtime Specification                              
ImVexed/muon                                        1680   2019        GPU based Electron on a diet                           
eolinker/goku-api-gateway                           1679   2018        A Powerful HTTP API Gateway in pure golang！Goku ...    
GuoZhaoran/spikeSystem                              1679   2019        一个秒杀系统的例子分析                                            
pierrre/imageserver                                 1676   2013        Image server toolkit in Go                             
alecthomas/participle                               1675   2016        A parser library for Go                                
panjf2000/gnet                                      1674   2019        🦋 gnet is a high-performance, lightweight, non-...     
chain/chain                                         1673   2016        Chain Core Developer Edition (Archive)                 
crossplaneio/crossplane                             1673   2018        The open source multicloud control plane.              
cuelang/cue                                         1667   2019        Validate and define text-based and dynamic configu...  
xyproto/algernon                                    1665   2015        :tophat: Small self-contained pure-Go web server w...  
x-motemen/ghq                                       1653   2013        Remote repository management made easy                 
ysrc/yulong-hids                                    1652   2018        一款由 YSRC 开源的主机入侵检测系统                                   
mperham/inspeqtor                                   1649   2014        Monitor your application infrastructure!               
mkchoi212/fac                                       1643   2017        Easy-to-use CUI for fixing git conflicts               
getqujing/qtunnel                                   1643   2014        A secure socket tunnel works on getqujing.com          
laher/goxc                                          1642   2013        a build tool for Go, with a focus on cross-compili...  
XiaoMi/naftis                                       1640   2018        An awesome dashboard for Istio built with love.        
gosuri/uiprogress                                   1636   2015        A go library to render progress bars in terminal a...  
sciter-sdk/go-sciter                                1633   2015        Golang bindings of Sciter: the Embeddable HTML/CSS...  
divan/expvarmon                                     1633   2015        TermUI based monitor for Go apps using expvars (/d...  
reviewdog/reviewdog                                 1628   2016        :dog: Automated code review tool integrated with a...  
jessevdk/go-flags                                   1627   2012        go command line option parser                          
sipt/shuttle                                        1626   2018        A web proxy in Golang with amazing features.           
valyala/quicktemplate                               1626   2016        Fast, powerful, yet easy to use template engine fo...  
aws/amazon-ecs-agent                                1622   2014        Amazon Elastic Container Service Agent                 
bouk/monkey                                         1621   2015        Monkey patching in Go                                  
arnauddri/algorithms                                1621   2015        Algorithms & Data Structures in Go                     
instrumenta/kubeval                                 1618   2017        Validate your Kubernetes configuration files, supp...  
montanaflynn/stats                                  1618   2014        A well tested and comprehensive Golang statistics ...  
asobti/kube-monkey                                  1617   2016        An implementation of Netflix's Chaos Monkey for Ku...  
marcusolsson/goddd                                  1614   2014        Exploring DDD in Go                                    
fsouza/go-dockerclient                              1613   2013        Go client for the Docker Engine API.                   
ory/oathkeeper                                      1611   2017        A cloud native Identity & Access Proxy / API (IAP)...  
miniflux/miniflux                                   1611   2017        Minimalist and opinionated feed reader                 
raviqqe/muffet                                      1610   2018        Fast website link checker in Go                        
juju/juju                                           1609   2014        Simple, secure devops tooling built to manage toda...  
sourcegraph/appdash                                 1609   2014        Application tracing system for Go, based on Google...  
hu17889/go_spider                                   1608   2014        [爬虫框架 (golang)] An awesome Go concurrent C...          
flosch/pongo2                                       1608   2013        Django-syntax like template-engine for Go              
google/ko                                           1607   2019        Build and deploy Go applications on Kubernetes         
rubenv/sql-migrate                                  1607   2014        SQL schema migration tool for Go.                      
google/uuid                                         1607   2016        Go package for UUIDs based on RFC 4122 and DCE 1.1...  
cosmos/cosmos-sdk                                   1603   2016        :chains: A Framework for Building High Value Publi...  
dreamans/syncd                                      1602   2019        syncd是一款开源的代码部署工具，它具...                                
Masterminds/sprig                                   1602   2013        Useful template functions for Go templates.            
ory/ladon                                           1601   2015        A SDK for access control policies: authorization f...  
spaceuptech/space-cloud                             1599   2019        Space Cloud is an open source, web server that pro...  
openshift/source-to-image                           1597   2014        A tool for building artifacts from source and inje...  
studygolang/studygolang                             1596   2013        Go 语言中文网 | Golang中文社区 | Go语言...                        
cespare/reflex                                      1596   2013        Run a command when files change                        
kubicorn/kubicorn                                   1593   2017        Simple, cloud native infrastructure for Kubernetes...  
gopherjs/vecty                                      1592   2014        Vecty: your frontend, in Go                            
op/go-logging                                       1590   2013        Golang logging library                                 
gokrazy/gokrazy                                     1590   2017        a pure-Go userland for your Raspberry Pi 3 applian...  
AlecAivazis/survey                                  1587   2016        A golang library for building interactive prompts ...  
hashicorp/golang-lru                                1585   2014        Golang LRU cache                                       
nsqio/go-nsq                                        1585   2013        The official Go package for NSQ                        
rendora/rendora                                     1585   2018        dynamic server-side rendering using headless Chrom...  
labstack/armor                                      1583   2016        Uncomplicated, modern HTTP server                      
vulcand/oxy                                         1581   2014        Go middlewares for HTTP servers & proxies              
docker/libnetwork                                   1578   2015        networking for containers                              
openshift/osin                                      1578   2013        Golang OAuth2 server library                           
thoas/go-funk                                       1577   2016        A modern Go utility library which provides helpers...  
caffix/amass                                        1576   2017        In-depth Attack Surface Mapping and Asset Discover...  
olivia-ai/olivia                                    1574   2018        💁‍♀️Your new best friend built with an ar...           
mattn/go-gtk                                        1571   2009        Go binding for GTK                                     
rancher/k3os                                        1568   2019        Purpose-built OS for Kubernetes, fully managed by ...  
sjqzhang/go-fastdfs                                 1566   2019        A simple fast, easy use distributed file system wr...  
tenta-browser/tenta-dns                             1565   2017        Recursive and authoritative DNS server in go, incl...  
weaveworks/flagger                                  1560   2018        Progressive delivery Kubernetes operator (Canary, ...  
koding/koding                                       1552   2014        The Simplest Way to Manage Your Entire Dev Infrast...  
kubernetes-sigs/metrics-server                      1551   2017        Cluster-wide aggregator of resource usage data.        
golang/vgo                                          1551   2018        [mirror] Versioned Go Prototype                        
flant/werf                                          1551   2016        GitOps delivery tool                                   
d5/tengo                                            1550   2019        A fast script language for Go                          
Jeffail/tunny                                       1547   2014        A goroutine pool for Go                                
go-bootstrap/go-bootstrap                           1542   2015        Generates a lean and mean Go web project.              
nanomsg/mangos-v1                                   1542   2014        The pure golang implementation of nanomsg (version...  
eyebluecn/tank                                      1537   2017        《蓝眼云盘》(Eyeblue Cloud Storage)                          
gorilla/sessions                                    1537   2012        Package gorilla/sessions provides cookie and files...  
sandglass/sandglass                                 1537   2017        Sandglass is a distributed, horizontally scalable,...  
AutoSpotting/AutoSpotting                           1537   2016        Tool that easily and reliably converts (all) your ...  
crazy-max/WindowsSpyBlocker                         1535   2016        🛡 Block spying and tracking on Windows                 
neex/phuip-fpizdam                                  1532   2019        Exploit for CVE-2019-11043                             
cenkalti/backoff                                    1526   2014        ⏱ The exponential backoff algorithm in Go              
google/novm                                         1526   2014        Experimental KVM-based VMM for containers, written...  
apex/gh-polls                                       1524   2017        Polls for user feedback in GitHub issues               
SpectoLabs/hoverfly                                 1523   2015        Lightweight service virtualization/API simulation ...  
sylabs/singularity                                  1523   2015        Singularity: Application containers for Linux          
changkun/go-under-the-hood                          1522   2018        📚 Go Under The Hood: A Source Code Study of Go ...     
iamduo/workq                                        1519   2016        Job server in Go                                       
alexei-led/pumba                                    1519   2016        Chaos testing, network emulation and stress testin...  
wailsapp/wails                                      1518   2018        Create desktop apps using Go and Web Technologies.     
levigross/grequests                                 1517   2015        A Go "clone" of the great and famous Requests libr...  
tus/tusd                                            1516   2013        Reference server implementation in Go of tus: the ...  
smallstep/certificates                              1516   2018        🛡️ A private certificate authority (X.509 & S...       
serverless/event-gateway                            1514   2017        React to any event with serverless functions acros...  
astaxie/gopkg                                       1511   2013        example for the go pkg's function                      
google/go-cmp                                       1510   2017        Package for comparing Go values in tests               
youtube/doorman                                     1509   2016        Doorman: Global Distributed Client Side Rate Limit...  
ContainerSolutions/k8s-deployment-strategies        1508   2017        Kubernetes deployment strategies explained             
google/google-ctf                                   1504   2018        Google CTF                                             
Qihoo360/poseidon                                   1503   2016        A search engine which can hold 100 trillion lines ...  
StackExchange/dnscontrol                            1503   2016        Synchronize your DNS to multiple providers from a ...  
vektra/mockery                                      1502   2014        A mock code autogenerator for golang                   
google/gapid                                        1501   2017        Graphics API Debugger                                  
openfaas/faas-netes                                 1499   2017        Serverless Kubernetes with OpenFaaS (Functions as ...  
inconshreveable/go-update                           1497   2013        Build self-updating Golang programs                    
rethinkdb/rethinkdb-go                              1495   2013        Go language driver for RethinkDB                       
segmentio/chamber                                   1495   2017        CLI for managing secrets                               
ravenac95/sudolikeaboss                             1492   2014        Get 1password access from iterm2                       
henrylee2cn/faygo                                   1491   2016        Faygo is a fast and concise Go Web framework that ...  
skydive-project/skydive                             1491   2015        An open source real-time network topology and prot...  
gtank/cryptopasta                                   1489   2015        copy & paste-friendly golang crypto                    
aerokube/selenoid                                   1489   2016        Selenium Hub successor running browsers within con...  
schollz/hostyoself                                  1485   2019        Host yo' self from your browser, your phone, your ...  
asdine/storm                                        1485   2016        Simple and powerful toolkit for BoltDB                 
dnote/dnote                                         1484   2017        A simple command line notebook for programmers         
eBay/akutan                                         1482   2019        A distributed knowledge graph store                    
spolu/warp                                          1482   2017        Secure and simple terminal sharing                     
google/keytransparency                              1482   2015        A transparent and secure way to look up public key...  
tj/mmake                                            1480   2017        Modern Make                                            
mmcloughlin/globe                                   1479   2017        Globe wireframe visualizations in Golang               
perlin-network/life                                 1479   2018        A secure WebAssembly VM catered for decentralized ...  
didip/tollbooth                                     1473   2015        Simple middleware to rate-limit HTTP requests.         
unknwon/go-rock-libraries-showcases                 1469   2013        《Go名库讲解》是一套针对 Google 出品�...                            
dop251/goja                                         1468   2016        ECMAScript 5.1(+) implementation written in Go         
hashicorp/envconsul                                 1466   2014        Launch a subprocess with environment variables usi...  
square/go-jose                                      1466   2014        An implementation of JOSE standards (JWE, JWS, JWT...  
hellogcc/100-gdb-tips                               1463   2014        A collection of gdb tips. 100 maybe just mean many...  
TruthHun/BookStack                                  1463   2018        BookStack，基于MinDoc，使用Beego开发的在...                      
kryptco/kr                                          1461   2016        A dev tool for SSH auth + Git commit/tag signing u...  
ok-borg/borg                                        1461   2016        Search and save shell snippets without leaving you...  
barnybug/cli53                                      1459   2010        Command line tool for Amazon Route 53                  
alexellis/k3sup                                     1459   2019        from Zero to KUBECONFIG in < 1 min 🚀                   
orcaman/concurrent-map                              1458   2014        a thread-safe concurrent map for go                    
go-echarts/go-echarts                               1457   2019        🎨 The adorable charts library for Golang               
yhat/scrape                                         1457   2015        A simple, higher level interface for Go web scrapi...  
chzyer/readline                                     1456   2015        Readline is a pure go(golang) implementation for G...  
liftbridge-io/liftbridge                            1454   2017        Lightweight, fault-tolerant message streams.           
rodrigo-brito/gocity                                1454   2018        :bar_chart: Code City metaphor for visualizing Go ...  
pingcap/chaos-mesh                                  1453   2019        A Chaos Engineering Platform for Kubernetes            
google/stenographer                                 1451   2014        Stenographer is a packet capture solution which ai...  
