Repository                                          Stars  Created at  Description                                            
keybase/client                                      6435   2015        Keybase Go Library, Client, Service, OS X, iOS, An...  
filebrowser/filebrowser                             6429   2015        📂 Web File Browser which can be used as a middl...     
polaris1119/The-Golang-Standard-Library-by-Example  6378   2013        Golang标准库。对于程序员而言，标准�...                              
blevesearch/bleve                                   6316   2014        A modern text indexing library for go                  
gdrive-org/gdrive                                   6278   2013        Google Drive CLI Client                                
quay/clair                                          6264   2015        Vulnerability Static Analysis for Containers           
sosedoff/pgweb                                      6261   2014        Cross-platform client for PostgreSQL databases         
developer-learning/night-reading-go                 6248   2018        Night-Reading-Go《Go 夜读》 > Share the relate...          
hybridgroup/gobot                                   6230   2013        Golang framework for robotics, drones, and the Int...  
usefathom/fathom                                    6214   2016        Fathom Lite. Simple, privacy-focused website analy...  
fabiolb/fabio                                       6193   2015        Consul Load-Balancing made simple                      
schachmat/wego                                      6189   2014        weather app for the terminal                           
golang/protobuf                                     6150   2014        Go support for Google's protocol buffers               
tomnomnom/gron                                      6077   2012        Make JSON greppable!                                   
casbin/casbin                                       6064   2017        An authorization library that supports access cont...  
linuxkit/linuxkit                                   6050   2015        A toolkit for building secure, portable and lean o...  
graphql-go/graphql                                  5994   2015        An implementation of GraphQL for Go / Golang           
jroimartin/gocui                                    5950   2014        Minimalist Go package aimed at creating Console Us...  
loadimpact/k6                                       5930   2016        A modern load testing tool, using Go and JavaScrip...  
mailhog/MailHog                                     5924   2014        Web and API based SMTP testing                         
tidwall/gjson                                       5845   2016        Get JSON values quickly - JSON parser for Go           
Dreamacro/clash                                     5826   2018        A rule-based tunnel in Go.                             
XiaoMi/soar                                         5826   2018        SQL Optimizer And Rewriter                             
docker/swarm                                        5811   2014        Swarm: a Docker-native clustering system               
direnv/direnv                                       5805   2011        unclutter your .profile                                
hashicorp/nomad                                     5783   2015        Nomad is an easy-to-use, flexible, and performant ...  
go-xorm/xorm                                        5783   2013        Simple and Powerful ORM for Go, support mysql,post...  
kubernetes/community                                5770   2016        Kubernetes community content                           
weaveworks/weave                                    5759   2014        Simple, resilient multi-host containers networking...  
teh-cmc/go-internals                                5756   2018        A book about the internals of the Go programming l...  
peco/peco                                           5744   2014        Simplistic interactive filtering tool                  
rancher/os                                          5743   2015        Tiny Linux distro that runs the entire OS as Docke...  
docker/machine                                      5702   2014        Machine management for a container-centric world       
